residue_type,stereo_abs,stereo_rel,short label,canonical smiles,doi,url
,,,Mr-777,CCN1CCNC(=O)C1=O,10.14272/ZBEKOEYCWKIMGU-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ZBEKOEYCWKIMGU-UHFFFAOYSA-N.1
,,,Mr-778,NNC(=S)Nc1ccccc1,10.14272/KKIGUVBJOHCXSP-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/KKIGUVBJOHCXSP-UHFFFAOYSA-N.1
,,,Mr-78,Cc1ccccc1Cc1cc2c(C)c(O)c(c(c2oc1=O)C)C,10.14272/YMIVMZWPBGUNRO-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/YMIVMZWPBGUNRO-UHFFFAOYSA-N.1
,,,Mr-780,CCCN([C@@H]1CCCC[C@H]1NC(=S)N[C@@H](C(C)(C)C)C(=O)NC(C)C)CCC,10.14272/XULQYZJFCNMXTM-GUDVDZBRSA-N.1,https://dx.doi.org/10.14272/XULQYZJFCNMXTM-GUDVDZBRSA-N.1
,,,Mr-781,CC1=C(c2ccccc2)C2(OC1=O)SCCS2,10.14272/RABCKYWEVBIDRL-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/RABCKYWEVBIDRL-UHFFFAOYSA-N.1
,,,Mr-782,O=C(c1cccc2c1cccc2)Nc1n[nH]c2c1cccc2,10.14272/CMWYJVQTHXQCST-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/CMWYJVQTHXQCST-UHFFFAOYSA-N.1
,,,Mr-783,CC(C1C2CCC(C31SCCS3)C(=O)C2)C,10.14272/FVNCCYVOXYDKDC-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/FVNCCYVOXYDKDC-UHFFFAOYSA-N.1
,,,Mr-784,CCC(=C1SCCS1)CCC(=O)CC,10.14272/YDJFXLVHPNACDY-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/YDJFXLVHPNACDY-UHFFFAOYSA-N.1
,,,Mr-785,CCCCOc1cc(OC)c2c(c1)oc(=O)c(c2)Cc1ccccc1OC,10.14272/HMZNTZJEQFTYMZ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/HMZNTZJEQFTYMZ-UHFFFAOYSA-N.1
,,,Mr-786,CCC(=O)SCCCSC(C(C)C)CC(=O)C,10.14272/LGBVJUDEOLYQDS-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/LGBVJUDEOLYQDS-UHFFFAOYSA-N.1
,,,Mr-787,CC(=O)C1SCCCS1,10.14272/UCTLSBFUHGKNPL-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/UCTLSBFUHGKNPL-UHFFFAOYSA-N.1
,,,Mr-789,CC(=O)Nc1n[nH]c2c1cccc2,10.14272/VCFLLXDSOODEGV-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/VCFLLXDSOODEGV-UHFFFAOYSA-N.1
,,,Mr-79,CCN(c1ccc2c(c1)oc(=S)cc2OCC(=O)C)CC,10.14272/FMWXHBBKSXMUAU-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/FMWXHBBKSXMUAU-UHFFFAOYSA-N.1
